Date,Closing,Open,High,Low
7-Aug-13,121.05,118.3,121.5,117.85
7-Aug-13,121.05,118.3,121.5,117.85
8-Aug-13,122.05,120.65,123.6,120.4
8-Aug-13,122.05,120.65,123.6,120.4
9-Aug-13,122.9,121.95,124.3,121.45
9-Aug-13,122.9,121.95,124.3,121.45
12-Aug-13,123.45,122.9,124.6,122.1
12-Aug-13,123.45,122.9,124.6,122.1
13-Aug-13,120.6,123.5,124.25,119.35
13-Aug-13,120.6,123.5,124.25,119.35
14-Aug-13,122.65,121.05,124.5,120.75
14-Aug-13,122.65,121.05,124.5,120.75
15-Aug-13,121.85,122.75,122.75,119.55
15-Aug-13,121.85,122.75,122.75,119.55
16-Aug-13,120.5,121.7,122.2,120
16-Aug-13,120.5,121.7,122.2,120
19-Aug-13,119.25,120.45,120.9,118.85
19-Aug-13,119.25,120.45,120.9,118.85
20-Aug-13,114.95,119,119,114.75
20-Aug-13,114.95,119,119,114.75
21-Aug-13,113.5,115.1,115.7,113.25
21-Aug-13,113.5,115.1,115.7,113.25
22-Aug-13,113.2,113.4,114.5,112.8
22-Aug-13,113.2,113.4,114.5,112.8
23-Aug-13,113.05,113,114.3,113
23-Aug-13,113.05,113,114.3,113
26-Aug-13,114.05,114.1,115.2,114.1
26-Aug-13,114.05,114.1,115.2,114.1
27-Aug-13,113.15,113.8,113.8,112.9
27-Aug-13,113.15,113.8,113.8,112.9
28-Aug-13,114.6,114.15,114.85,113.6
28-Aug-13,114.6,114.15,114.85,113.6
29-Aug-13,113.15,114.25,114.25,112.75
29-Aug-13,113.15,114.25,114.25,112.75
30-Aug-13,112.1,113.5,113.5,112
30-Aug-13,112.1,113.5,113.5,112
3-Sep-13,112.8,113,114.5,112.9
3-Sep-13,112.8,113,114.5,112.9
4-Sep-13,116.78,117.28,118.47,116.68
4-Sep-13,116.78,117.28,118.47,116.68
5-Sep-13,112.55,113.55,113.55,111.55
5-Sep-13,112.55,113.55,113.55,111.55
6-Sep-13,117.53,117.15,118.82,117.15
6-Sep-13,117.53,117.15,118.82,117.15
9-Sep-13,113.85,114,114,114
9-Sep-13,113.85,114,114,114
10-Sep-13,112.35,114.6,114.6,114.6
10-Sep-13,112.35,114.6,114.6,114.6
11-Sep-13,116.45,114,116,114
11-Sep-13,116.45,114,116,114
12-Sep-13,116.25,115.75,116.1,115.75
12-Sep-13,116.25,115.75,116.1,115.75
13-Sep-13,115.55,115.7,115.7,115.7
13-Sep-13,115.55,115.7,115.7,115.7
16-Sep-13,118.85,119.7,120.72,118.6
16-Sep-13,118.85,119.7,120.72,118.6
17-Sep-13,111.05,114.75,114.75,111.1
